listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240417_1356068333650691984882817.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/20/the-kevel-at-kings-wharf-8/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240411_1353042741518148326738135.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/13/the-kevel-at-kings-wharf-7/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240322_1356411311275721938002559.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/23/the-kevel-at-kings-wharf-6/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1407427466796153839777738.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/23/the-kevel-at-kings-wharf-5/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240202_1346143083050734952697534.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/03/the-kevel-at-kings-wharf-4/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1330113055701680847522353.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/the-kevel-at-kings-wharf-3/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,26 King’s Wharf Place,-1,-1,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231221_1413386791905090448223827.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/23/kings-wharf-8/,Halifax Regional Municipality development blog,,
The Kevel at King’s Wharf,26 King’s Wharf Place,-1,Building permit submitted for 15 floors / 95 units for Building ‘F’.,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_132551.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/the-kevel-at-kings-wharf/,Halifax Regional Municipality development blog,,
Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,$44.0 M,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240322_1434054105981155645977758.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/24/lancaster-villas-5/,Halifax Regional Municipality development blog,,
Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,$44.0 M,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240316_1313004357374162925119876.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/17/lancaster-villas-4/,Halifax Regional Municipality development blog,,
